call_id,member_id,first_name,last_name,birth_date,zip_code,contact_date,reason,sentiment,issue_open,escalated
CALL-M1021-03,M1021,Liam,Lee,1964-03-24,32801,2025-10-20,transportation_support,negative,1,0
CALL-M1025-01,M1025,Elijah,Allen,1949-02-09,77002,2025-11-06,medication_refill,negative,1,0
CALL-M1027-01,M1027,Lucas,Young,1966-09-05,33101,2025-10-26,benefit_question,positive,0,0
CALL-M1027-02,M1027,Lucas,Young,1966-09-05,33101,2025-12-15,pcp_scheduling,neutral,0,0
CALL-M1029-01,M1029,Mason,Taylor,2000-04-22,77002,2025-10-29,medication_refill,neutral,0,0
CALL-M1029-02,M1029,Mason,Taylor,2000-04-22,77002,2025-11-21,medication_refill,negative,1,1
CALL-M1030-01,M1030,Olivia,Wright,1962-03-26,90012,2026-03-21,billing_issue,negative,1,0
CALL-M1033-01,M1033,James,Taylor,1957-12-07,33101,2025-10-27,care_coordination,neutral,0,0
CALL-M1033-02,M1033,James,Taylor,1957-12-07,33101,2025-11-17,care_coordination,positive,0,0
CALL-M1033-03,M1033,James,Taylor,1957-12-07,33101,2025-12-11,medication_refill,neutral,0,0
CALL-M1034-01,M1034,Amelia,Wright,1972-07-18,77002,2025-10-03,pcp_scheduling,neutral,0,0
CALL-M1035-01,M1035,Benjamin,Clark,1982-01-13,85004,2026-01-17,medication_refill,negative,1,1
CALL-M1036-01,,Harper,Johnson,1996-07-09,77002,2025-11-17,medication_refill,negative,1,0
CALL-M1036-02,M1036,Harper,Johnson,1996-07-09,77002,2026-01-09,medication_refill,negative,1,0
CALL-M1036-03,M1036,Harper,Johnson,1996-07-09,77002,2025-10-15,benefit_question,positive,0,0
CALL-M1037-01,M1037,Logan,Adams,1949-10-05,75201,2025-10-25,pcp_scheduling,positive,0,0
CALL-M1037-02,M1037,Logan,Adams,1949-10-05,75201,2025-12-15,pcp_scheduling,positive,0,0
CALL-M1039-01,M1039,Daniel,Taylor,1986-02-26,30303,2026-01-01,billing_issue,negative,1,1
CALL-M1040-01,M1040,Ava,Wright,1954-07-12,30303,2025-10-13,care_coordination,neutral,0,0
CALL-M1042-01,M1042,Sophia,Allen,1964-06-09,77002,2025-11-10,transportation_support,negative,1,0
CALL-M1042-02,M1042,Sophia,Allen,1964-06-09,77002,2026-02-17,care_coordination,positive,0,0
CALL-M1042-03,M1042,Sophia,Allen,1964-06-09,77002,2026-02-21,benefit_question,positive,0,0
CALL-M1043-01,,Noah,Clark,1962-07-23,75201,2026-02-02,benefit_question,positive,0,0
CALL-M1043-02,M1043,Noah,Clark,1962-07-23,75201,2025-12-22,benefit_question,positive,0,0
CALL-M1043-03,M1043,Noah,Clark,1962-07-23,75201,2025-10-29,billing_issue,neutral,0,0
CALL-M1045-01,,Elijah,Allen,1950-01-18,75201,2025-10-13,pcp_scheduling,positive,0,0
CALL-M1045-02,M1045,Elijah,Allen,1950-01-18,75201,2026-01-30,transportation_support,negative,1,0
CALL-M1045-03,M1045,Elijah,Allen,1950-01-18,75201,2026-03-30,billing_issue,negative,1,1
CALL-M1046-01,M1046,Isabella,Baker,1978-02-27,77002,2025-12-18,benefit_question,positive,0,0
CALL-M1047-01,M1047,Lucas,Garcia,1981-07-15,77002,2026-03-07,transportation_support,negative,1,1
CALL-M1048-01,M1048,Emma,Allen,1958-04-06,90012,2026-01-19,billing_issue,neutral,0,0
CALL-M1049-01,M1049,Mason,Patel,1962-05-26,75201,2025-11-03,pcp_scheduling,neutral,0,0
CALL-M1050-01,,Olivia,Baker,1977-12-10,33101,2026-01-14,transportation_support,negative,1,1
CALL-M1051-01,M1051,Ethan,Wright,1991-10-19,75201,2026-01-24,benefit_question,positive,0,0
CALL-M1052-01,M1052,Charlotte,Patel,1975-11-27,85004,2025-12-03,billing_issue,negative,1,1
CALL-M1053-01,M1053,James,Young,1983-01-15,30303,2026-01-23,benefit_question,neutral,0,0
CALL-M1053-02,M1053,James,Young,1983-01-15,30303,2026-01-09,transportation_support,positive,0,0
CALL-M1053-03,M1053,James,Young,1983-01-15,30303,2026-01-16,billing_issue,negative,1,0
CALL-M1055-01,M1055,Benjamin,Anderson,1955-11-27,33101,2026-01-02,care_coordination,neutral,0,0
CALL-M1055-02,M1055,Benjamin,Anderson,1955-11-27,33101,2025-12-30,billing_issue,neutral,0,0
CALL-M1055-03,M1055,Benjamin,Anderson,1955-11-27,33101,2026-02-10,billing_issue,negative,1,0
CALL-M1056-01,M1056,Harper,Lee,1956-02-09,33101,2026-01-28,care_coordination,positive,0,0
CALL-M1059-01,M1059,Daniel,Patel,1989-03-03,33101,2026-03-03,transportation_support,neutral,0,0
CALL-M1061-01,M1061,Liam,Scott,1957-04-17,33101,2025-12-25,billing_issue,positive,0,0
CALL-M1061-02,M1061,Liam,Scott,1957-04-17,33101,2025-11-20,billing_issue,positive,0,0
CALL-M1061-03,M1061,Liam,Scott,1957-04-17,33101,2025-11-12,billing_issue,negative,1,0
CALL-M1063-01,M1063,Noah,Torres,2002-08-04,85004,2026-02-14,pcp_scheduling,positive,0,0
CALL-M1063-02,M1063,Noah,Torres,2002-08-04,85004,2025-12-03,benefit_question,positive,0,0
CALL-M1067-01,M1067,Lucas,Adams,1971-11-24,75201,2026-02-11,billing_issue,negative,1,1
CALL-M1068-01,M1068,Emma,Young,1988-08-23,32801,2025-11-23,medication_refill,negative,1,0
CALL-M1068-02,M1068,Emma,Young,1988-08-23,32801,2025-12-25,pcp_scheduling,positive,0,0
CALL-M1069-01,M1069,Mason,Patel,1995-12-18,33101,2026-01-31,medication_refill,negative,1,1
CALL-M1069-02,M1069,Mason,Patel,1995-12-18,33101,2026-01-29,care_coordination,positive,0,0
CALL-M1069-03,M1069,Mason,Patel,1995-12-18,33101,2026-03-28,transportation_support,negative,1,0
CALL-M1071-01,M1071,Ethan,Lee,1961-11-21,75201,2026-01-09,care_coordination,positive,0,0
CALL-M1071-02,M1071,Ethan,Lee,1961-11-21,75201,2025-10-05,transportation_support,negative,1,0
CALL-M1071-03,M1071,Ethan,Lee,1961-11-21,75201,2026-03-06,transportation_support,negative,1,1
CALL-M1072-01,M1072,Charlotte,Nguyen,1957-10-01,77002,2025-12-28,care_coordination,positive,0,0
CALL-M1072-02,M1072,Charlotte,Nguyen,1957-10-01,77002,2025-12-15,billing_issue,negative,1,0
CALL-M1072-03,M1072,Charlotte,Nguyen,1957-10-01,77002,2025-10-08,benefit_question,neutral,0,0
CALL-M1073-01,M1073,James,Taylor,1949-03-09,32801,2025-12-06,medication_refill,negative,1,0
CALL-M1075-01,M1075,Benjamin,Torres,1952-03-09,32801,2026-02-16,billing_issue,negative,1,0
CALL-M1076-01,M1076,Harper,Young,1989-09-24,30303,2025-11-04,pcp_scheduling,positive,0,0
CALL-M1080-01,M1080,Ava,Young,1957-10-22,75201,2025-10-16,transportation_support,negative,1,1
CALL-M1080-02,M1080,Ava,Young,1957-10-22,75201,2025-12-28,transportation_support,positive,0,0
CALL-M1081-01,M1081,Liam,Lee,1987-01-22,75201,2025-10-12,transportation_support,negative,1,1
CALL-M1081-02,M1081,Liam,Lee,1987-01-22,75201,2026-03-10,medication_refill,neutral,0,0
CALL-M1081-03,M1081,Liam,Lee,1987-01-22,75201,2025-11-29,transportation_support,negative,1,1
